Name,Address,Lat,Lng,Group,URL
Euko Coffee,"3290 N Vancouver Ave, Portland, OR 97227",45.5466193,-122.6674297,B,https://jonhays.me/2024/08/24/euko-coffee-has.html
Cafe Eleven,"435 NE Rosa Parks Way, Portland, OR 97211",45.5701434,-122.6606549,B,https://jonhays.me/2024/09/30/i-wont-be.html
See See Motor Coffee,"1642 NE Sandy Blvd, Portland, OR 97232",45.5244988,-122.6487115,B,https://jonhays.me/2024/09/03/ive-driven-by.html
Holly Rose Coffee,"2035 NE 41st Ave, Portland, OR 97212",45.5375846,-122.6211056,B,https://jonhays.me/2024/08/26/holly-rose-coffee.html
No Preference Coffee,"2327 E Burnside St, Portland, OR 97214",45.5230447,-122.6417603,B,https://jonhays.me/2024/08/31/theres-a-lot.html
Harder Day Coffee,"4615 NE Sandy Blvd, Portland, OR 97213",45.5382348,-122.6157771,B,https://jonhays.me/2024/09/27/harder-day-coffee.html
Kalsea,"722 N Page St, Portland, OR 97227",45.5394943,-122.6741951,B,https://jonhays.me/2024/10/08/kalsea-coffee-is.html
Proud Mary,"2012 NE Alberta St, Portland, OR 97211",45.5589512,-122.6444893,B,https://jonhays.me/2025/01/31/located-in-the-alberta-arts.html
La Perlita,"5620 N Interstate Ave, Portland, OR 97217",45.563574,-122.6818007,B,https://jonhays.me/2024/09/04/if-you-ride.html
Bastion,"4326 N Mississippi Ave, Portland, OR 97217",45.5550775,-122.6752072,B,https://jonhays.me/2024/10/19/i-believe-that.html
Albina Press,"4637 N Albina Ave, Portland, OR 97217",45.55675,-122.6751472,B,https://jonhays.me/2025/02/02/the-original-albina-press-appears.html
Jet Black Coffee,"5308 NE 30th Ave, Portland, OR 97211",45.5616541,-122.6347137,B,https://jonhays.me/2025/01/18/as-an-oat-milk-drinker.html
Yigebe Coffee,"5730 NE Sandy Blvd, Portland, OR 97213",45.5424142,-122.6037181,B,https://jonhays.me/2024/08/18/today-i-visited.html
